Column1;t_idx;u_abs_eff_FLORIS;Ct_FLORIS;AI_FLORIS;TI_FLORIS;Power_FLORIS;power_OFF;time
58;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;240
59;5;5,73542E+16;9,01879E+13;3,43379E+15;1,01893E+16;1,63142E+16;1,49595E+16;240
60;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;240
61;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+15;240
62;8;6,10883E+15;8,93912E+14;3,37144E+16;1,05503E+16;1,97561E+15;1,82943E+16;240
63;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;280
64;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;280
65;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;280
66;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;280
67;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;280
68;5;5,73542E+16;9,01879E+13;3,43379E+15;1,01893E+16;1,63142E+16;1,49595E+16;280
69;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;280
70;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+15;280
71;8;6,11438E+15;8,93856E+15;3,37101E+15;1,05503E+16;1,98175E+16;1,83469E+16;280
72;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;320
73;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;320
74;2;7,96193E+15;8,73457E+15;3,22136E+15;6,00017E+15;4,38402E+15;4,09117E+16;320
75;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;320
76;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;320
77;5;5,73542E+15;9,01879E+15;3,43379E+16;1,01893E+16;1,63142E+16;1,49595E+16;320
78;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;320
79;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+15;320
80;8;6,11438E+15;8,93856E+15;3,37101E+15;1,05503E+15;1,98175E+15;1,83469E+16;320
81;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;360
82;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;360
83;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;360
84;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;360
85;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;360
86;5;5,73542E+15;9,01879E+15;3,43379E+16;1,01893E+16;1,63142E+16;1,49595E+16;360
87;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;360
88;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+15;360
89;8;6,11438E+15;8,93856E+15;3,37101E+15;1,05503E+16;1,98175E+16;1,83469E+16;360
90;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;400
91;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;400
92;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;400
93;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;400
94;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;400
95;5;5,73542E+16;9,01879E+13;3,43379E+15;1,01893E+16;1,63142E+16;1,49595E+16;400
96;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;400
97;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+15;400
98;8;6,11438E+15;8,93856E+15;3,37101E+15;1,05503E+16;1,98175E+16;1,83469E+16;400
99;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;440
100;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;440
101;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;440
102;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;440
103;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;440
104;5;5,73542E+15;9,01879E+15;3,43379E+16;1,01893E+16;1,63142E+16;1,49595E+16;440
105;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;440
106;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+16;440
107;8;6,10883E+15;8,93912E+14;3,37144E+16;1,05503E+16;1,97561E+15;1,82943E+16;440
108;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;480
109;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;480
110;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;480
111;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;480
112;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;480
113;5;5,73542E+15;9,01879E+15;3,43379E+16;1,01893E+16;1,63142E+16;1,49595E+16;480
114;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;480
115;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+15;480
116;8;6,10883E+15;8,93912E+14;3,37144E+16;1,05503E+16;1,97561E+15;1,82943E+16;480
117;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;520
118;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;520
119;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;520
120;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;520
121;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;520
122;5;5,73542E+16;9,01879E+13;3,43379E+15;1,01893E+16;1,63142E+16;1,49595E+16;520
123;6;7,96193E+15;8,73457E+15;3,22136E+15;6,00026E+15;4,38402E+15;4,09117E+16;520
124;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+15;520
125;8;6,11438E+15;8,93856E+15;3,37101E+15;1,05503E+16;1,98175E+16;1,83469E+16;520
126;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;560
127;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;560
128;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;560
129;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;560
130;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;560
131;5;5,73542E+16;9,01879E+13;3,43379E+15;1,01893E+16;1,63142E+16;1,49595E+16;560
132;6;7,96193E+15;8,73457E+15;3,22136E+15;6,00026E+15;4,38402E+15;4,09117E+16;560
133;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+15;560
134;8;6,11438E+15;8,93856E+15;3,37101E+15;1,05503E+16;1,98175E+16;1,83469E+16;560
135;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;600
136;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;600
137;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;600
138;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;600
139;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;600
140;5;5,73542E+15;9,01879E+15;3,43379E+16;1,01893E+16;1,63142E+16;1,49595E+16;600
141;6;7,96193E+15;8,73457E+15;3,22136E+15;6,00026E+15;4,38402E+15;4,09117E+16;600
142;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+16;600
143;8;6,11438E+15;8,93856E+15;3,37101E+15;1,05503E+16;1,98175E+16;1,83469E+16;600
144;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;640
145;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;640
146;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;640
147;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;640
148;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;640
149;5;5,73542E+16;9,01879E+13;3,43379E+15;1,01893E+16;1,63142E+16;1,49595E+16;640
150;6;7,96193E+15;8,73457E+15;3,22136E+15;6,00026E+15;4,38402E+15;4,09117E+16;640
151;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+16;640
152;8;6,10883E+15;8,93912E+14;3,37144E+16;1,05503E+16;1,97561E+15;1,82943E+16;640
153;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;680
154;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;680
155;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;680
156;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;680
157;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;680
158;5;5,73575E+15;9,01871E+15;3,43372E+16;1,01893E+16;1,6317E+16;1,49622E+16;680
159;6;7,96193E+15;8,73457E+15;3,22136E+15;6,00026E+15;4,38402E+15;4,09117E+16;680
160;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+15;680
161;8;6,11438E+14;8,93856E+15;3,37101E+16;1,05503E+15;1,98175E+16;1,83469E+16;680
162;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;720
163;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;720
164;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;720
165;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;720
166;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;720
167;5;5,73542E+16;9,01879E+13;3,43379E+15;1,01893E+16;1,63142E+16;1,49595E+16;720
168;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;720
169;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+15;720
170;8;6,11438E+15;8,93856E+15;3,37101E+15;1,05503E+16;1,98175E+16;1,83469E+16;720
171;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;760
172;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;760
173;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;760
174;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;760
175;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;760
176;5;5,73542E+16;9,01879E+13;3,43379E+15;1,01893E+16;1,63142E+16;1,49595E+16;760
177;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;760
178;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+16;760
179;8;6,10883E+15;8,93912E+14;3,37144E+16;1,05503E+16;1,97561E+15;1,82943E+16;760
180;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;800
181;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;800
182;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;800
183;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;800
184;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;800
185;5;5,73542E+16;9,01879E+13;3,43379E+15;1,01893E+16;1,63142E+16;1,49595E+16;800
186;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;800
187;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+16;800
188;8;6,11438E+15;8,93856E+15;3,37101E+15;1,05503E+16;1,98175E+16;1,83469E+16;800
189;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;840
190;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;840
191;2;7,96193E+15;8,73457E+15;3,22136E+15;6,00017E+15;4,38402E+15;4,09117E+16;840
192;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;840
193;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;840
194;5;5,73542E+16;9,01879E+13;3,43379E+15;1,01893E+16;1,63142E+16;1,49595E+16;840
195;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;840
196;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+16;840
197;8;6,11438E+15;8,93856E+15;3,37101E+15;1,05503E+16;1,98175E+16;1,83469E+16;840
198;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;880
199;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;880
200;2;7,96193E+15;8,73457E+15;3,22136E+15;6,00017E+15;4,38402E+15;4,09117E+16;880
201;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;880
202;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;880
203;5;5,73542E+16;9,01879E+13;3,43379E+15;1,01893E+16;1,63142E+16;1,49595E+16;880
204;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;880
205;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+16;880
206;8;6,11438E+14;8,93856E+15;3,37101E+16;1,05503E+15;1,98175E+16;1,83469E+16;880
207;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;920
208;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;920
209;2;7,96193E+15;8,73457E+15;3,22136E+15;6,00017E+15;4,38402E+15;4,09117E+16;920
210;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;920
211;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;920
212;5;5,73542E+15;9,01879E+13;3,43379E+15;1,01893E+16;1,63142E+15;1,49595E+16;920
213;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;920
214;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+16;1,49605E+15;920
215;8;6,11438E+15;8,93856E+15;3,37101E+15;1,05503E+16;1,98175E+16;1,83469E+16;920
216;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;960
217;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;960
218;2;7,96193E+15;8,73457E+15;3,22136E+15;6,00017E+15;4,38402E+15;4,09117E+16;960
219;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;960
