t_idx,yaw,orientation,wind_dir,time
138,3,0.0,225.0,225.0,60.0
139,4,0.0,225.0,225.0,60.0
140,5,0.0,225.0,225.0,60.0
141,6,0.0,225.0,225.0,60.0
142,7,0.0,225.0,225.0,60.0
143,8,0.0,225.0,225.0,60.0
144,0,0.0,225.0,225.0,64.0
145,1,0.0,225.0,225.0,64.0
146,2,0.0,225.0,225.0,64.0
147,3,0.0,225.0,225.0,64.0
148,4,0.0,225.0,225.0,64.0
149,5,0.0,225.0,225.0,64.0
150,6,0.0,225.0,225.0,64.0
151,7,0.0,225.0,225.0,64.0
152,8,0.0,225.0,225.0,64.0
153,0,0.0,225.0,225.0,68.0
154,1,0.0,225.0,225.0,68.0
155,2,0.0,225.0,225.0,68.0
156,3,0.0,225.0,225.0,68.0
157,4,0.0,225.0,225.0,68.0
158,5,0.0,225.0,225.0,68.0
159,6,0.0,225.0,225.0,68.0
160,7,0.0,225.0,225.0,68.0
161,8,0.0,225.0,225.0,68.0
162,0,0.0,225.0,225.0,72.0
163,1,0.0,225.0,225.0,72.0
164,2,0.0,225.0,225.0,72.0
165,3,0.0,225.0,225.0,72.0
166,4,0.0,225.0,225.0,72.0
167,5,0.0,225.0,225.0,72.0
168,6,0.0,225.0,225.0,72.0
169,7,0.0,225.0,225.0,72.0
170,8,0.0,225.0,225.0,72.0
171,0,0.0,225.0,225.0,76.0
172,1,0.0,225.0,225.0,76.0
173,2,0.0,225.0,225.0,76.0
174,3,0.0,225.0,225.0,76.0
175,4,0.0,225.0,225.0,76.0
176,5,0.0,225.0,225.0,76.0
177,6,0.0,225.0,225.0,76.0
178,7,0.0,225.0,225.0,76.0
179,8,0.0,225.0,225.0,76.0
180,0,0.0,225.0,225.0,80.0
181,1,0.0,225.0,225.0,80.0
182,2,0.0,225.0,225.0,80.0
183,3,0.0,225.0,225.0,80.0
184,4,0.0,225.0,225.0,80.0
185,5,0.0,225.0,225.0,80.0
186,6,0.0,225.0,225.0,80.0
187,7,0.0,225.0,225.0,80.0
188,8,0.0,225.0,225.0,80.0
189,0,0.0,225.0,225.0,84.0
190,1,0.0,225.0,225.0,84.0
191,2,0.0,225.0,225.0,84.0
192,3,0.0,225.0,225.0,84.0
193,4,0.0,225.0,225.0,84.0
194,5,0.0,225.0,225.0,84.0
195,6,0.0,225.0,225.0,84.0
196,7,0.0,225.0,225.0,84.0
197,8,0.0,225.0,225.0,84.0
198,0,0.0,225.0,225.0,88.0
199,1,0.0,225.0,225.0,88.0
200,2,0.0,225.0,225.0,88.0
201,3,0.0,225.0,225.0,88.0
202,4,0.0,225.0,225.0,88.0
203,5,0.0,225.0,225.0,88.0
204,6,0.0,225.0,225.0,88.0
205,7,0.0,225.0,225.0,88.0
206,8,0.0,225.0,225.0,88.0
207,0,0.0,225.0,225.0,92.0
208,1,0.0,225.0,225.0,92.0
209,2,0.0,225.0,225.0,92.0
210,3,0.0,225.0,225.0,92.0
211,4,0.0,225.0,225.0,92.0
212,5,0.0,225.0,225.0,92.0
213,6,0.0,225.0,225.0,92.0
214,7,0.0,225.0,225.0,92.0
215,8,0.0,225.0,225.0,92.0
216,0,0.0,225.0,225.0,96.0
217,1,0.0,225.0,225.0,96.0
218,2,0.0,225.0,225.0,96.0
219,3,0.0,225.0,225.0,96.0
220,4,0.0,225.0,225.0,96.0
221,5,0.0,225.0,225.0,96.0
222,6,0.0,225.0,225.0,96.0
223,7,0.0,225.0,225.0,96.0
224,8,0.0,225.0,225.0,96.0
225,0,0.0,225.0,225.0,100.0
226,1,0.0,225.0,225.0,100.0
227,2,0.0,225.0,225.0,100.0
228,3,0.0,225.0,225.0,100.0
229,4,0.0,225.0,225.0,100.0
230,5,0.0,225.0,225.0,100.0
231,6,0.0,225.0,225.0,100.0
232,7,0.0,225.0,225.0,100.0
233,8,0.0,225.0,225.0,100.0
234,0,0.0,225.0,225.0,104.0
235,1,0.0,225.0,225.0,104.0
236,2,0.0,225.0,225.0,104.0
237,3,0.0,225.0,225.0,104.0
238,4,0.0,225.0,225.0,104.0
239,5,0.0,225.0,225.0,104.0
240,6,0.0,225.0,225.0,104.0
241,7,0.0,225.0,225.0,104.0
242,8,0.0,225.0,225.0,104.0
243,0,0.0,225.0,225.0,108.0
244,1,0.0,225.0,225.0,108.0
245,2,0.0,225.0,225.0,108.0
246,3,0.0,225.0,225.0,108.0
247,4,0.0,225.0,225.0,108.0
248,5,0.0,225.0,225.0,108.0
249,6,0.0,225.0,225.0,108.0
250,7,0.0,225.0,225.0,108.0
251,8,0.0,225.0,225.0,108.0
252,0,0.0,225.0,225.0,112.0
253,1,0.0,225.0,225.0,112.0
254,2,0.0,225.0,225.0,112.0
255,3,0.0,225.0,225.0,112.0
256,4,0.0,225.0,225.0,112.0
257,5,0.0,225.0,225.0,112.0
258,6,0.0,225.0,225.0,112.0
259,7,0.0,225.0,225.0,112.0
260,8,0.0,225.0,225.0,112.0
261,0,0.0,225.0,225.0,116.0
262,1,0.0,225.0,225.0,116.0
263,2,0.0,225.0,225.0,116.0
264,3,0.0,225.0,225.0,116.0
265,4,0.0,225.0,225.0,116.0
266,5,0.0,225.0,225.0,116.0
267,6,0.0,225.0,225.0,116.0
268,7,0.0,225.0,225.0,116.0
269,8,0.0,225.0,225.0,116.0
270,0,0.0,225.0,225.0,120.0
271,1,0.0,225.0,225.0,120.0
272,2,0.0,225.0,225.0,120.0
273,3,0.0,225.0,225.0,120.0
274,4,0.0,225.0,225.0,120.0
275,5,0.0,225.0,225.0,120.0
276,6,0.0,225.0,225.0,120.0
277,7,0.0,225.0,225.0,120.0
278,8,0.0,225.0,225.0,120.0
279,0,0.0,225.0,225.0,124.0
280,1,0.0,225.0,225.0,124.0
281,2,0.0,225.0,225.0,124.0
282,3,0.0,225.0,225.0,124.0
283,4,0.0,225.0,225.0,124.0
284,5,0.0,225.0,225.0,124.0
285,6,0.0,225.0,225.0,124.0
286,7,0.0,225.0,225.0,124.0
287,8,0.0,225.0,225.0,124.0
288,0,0.0,225.0,225.0,128.0
289,1,0.0,225.0,225.0,128.0
290,2,0.0,225.0,225.0,128.0
291,3,0.0,225.0,225.0,128.0
292,4,0.0,225.0,225.0,128.0
293,5,0.0,225.0,225.0,128.0
294,6,0.0,225.0,225.0,128.0
295,7,0.0,225.0,225.0,128.0
296,8,0.0,225.0,225.0,128.0
297,0,0.0,225.0,225.0,132.0
298,1,0.0,225.0,225.0,132.0
299,2,0.0,225.0,225.0,132.0
300,3,0.0,225.0,225.0,132.0
301,4,0.0,225.0,225.0,132.0
302,5,0.0,225.0,225.0,132.0
303,6,0.0,225.0,225.0,132.0
304,7,0.0,225.0,225.0,132.0
305,8,0.0,225.0,225.0,132.0
306,0,0.0,225.0,225.0,136.0
307,1,0.0,225.0,225.0,136.0
